NAME,pwd_nursing_18_64_pct,pwd_grpquarters_institution_pct,pwd_grpquarters_noninstitution_pct,pwd_home_pct,pwd_corrections_pct,pwd_housing_choice_voucher_pct,pwd_pubhousing_pct,z_pwd_nursing_18_64_pct,z_pwd_grpquarters_institution_pct,z_pwd_grpquarters_noninstitution_pct,z_pwd_home_pct,z_pwd_corrections_pct,z_pwd_housing_choice_voucher_pct,z_pwd_pubhousing_pct,score_pwd_nursing_18_64_pct,score_pwd_grpquarters_institution_pct,score_pwd_grpquarters_noninstitution_pct,score_pwd_home_pct,score_pwd_corrections_pct,score_pwd_housing_choice_voucher_pct,score_pwd_pubhousing_pct,Living in Community Score,Affordable Housing Score
Minnesota,1.17,6.34,0.48,90.0,0.48,46.44,48.1,0.0693081610714507,-0.886206316086976,1.37875239490102,-1.69999553369464,1.27308537487696,0.0417272670333655,-0.931943757965873,51.16,35.23,72.98,21.67,71.22,39.3909633518008,34.4676040339021,36.02,36.93
Mississippi,1.58,5.15,0.21,93.96,0.99,34.28,32.54,-1.05866893361811,-0.0403255997602443,-0.696026128615626,0.563880042185844,-0.0514526421717017,1.40177806551469,1.02338850384656,32.36,49.33,38.4,59.4,49.14,67.2556587769258,67.0564750641094,47.03,67.16
Missouri,1.93,6.04,0.21,92.9,0.86,43.5,40.96,-2.02157620957261,-0.672959076676876,-0.696026128615626,-0.0421068543882199,0.286174695507369,0.370555338376711,-0.0347026044092658,16.31,38.78,38.4,49.3,54.77,46.1279867522833,49.4216232598456,34.8,47.77
Montana,1.38,5.05,0.34,92.89,0.9,55.68,35.82,-0.508436204501252,0.0307568133764562,0.302941308633128,-0.0478237119030725,0.182289360836886,-0.99173238576001,0.611210494929804,41.53,50.51,55.05,49.2,53.04,18.2174612359987,60.1868415821634,47.08,39.2
Nebraska,1.67,5.94,0.23,92.61,0.69,48.96,36.44,-1.3062736617207,-0.601876663540176,-0.542338830577356,-0.207895722318865,0.727687367856923,-0.240125365546646,0.533298798122367,28.23,39.97,40.96,46.54,62.13,33.616371865673,58.8883133020394,38.25,46.25
Nevada,0.72,2.56,0.1,96.76,1.18,48.22,39.08,1.30733180158438,1.80070890048029,-1.54130626782611,2.16460014634377,-0.544907981856497,-0.15735911629696,0.201545766555219,71.79,80.01,24.31,86.08,40.92,35.3120852385835,53.3590961092537,79.29,44.34
New Hampshire,1.0,6.03,0.38,91.5,0.7,63.63,58.16,0.537005980820781,-0.665850835363206,0.610315904709668,-0.842466906467184,0.701716034189302,-1.88091033378029,-2.19612387068008,58.95,38.9,60.17,35.96,61.7,0.0,13.3979354886653,44.6,6.7
New Jersey,1.56,4.79,0.2,93.62,0.34,38.28,40.76,-1.00364566070643,0.215571087531877,-0.772869777634761,0.369506886680959,1.63668404622365,0.954392934435308,-0.0095697989875126,33.27,53.59,37.12,56.16,77.28,58.0896405449768,49.8405033502081,47.67,53.97
New Mexico,0.85,3.31,0.28,95.14,1.49,56.91,37.96,0.949680527658425,1.26759080195504,-0.158120585481681,1.23846922893811,-1.35001932555274,-1.12930331356692,0.342289476917038,65.83,71.13,47.36,70.64,27.5,15.3989106296743,55.704824615284,69.2,35.55
New York,1.37,4.98,0.47,91.5,0.3,47.65,41.75,-0.480924568045409,0.0805145025721459,1.30190874588188,-0.842466906467184,1.74056938089413,-0.0936067351181489,-0.133977185825194,41.98,51.34,71.7,35.96,79.01,36.6182428366362,47.7670469029134,43.09,42.19
